,id,abstract,keywords
0,"
pmel_co2_moorings_3b65_7886_9836
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\nboboa\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
1,"
pmel_co2_moorings_2d7a_8e9a_5fe9
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\nbtm\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
2,"
pmel_co2_moorings_1c20_dc17_edf5
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\narago\n', '\ncape\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
3,"
pmel_co2_moorings_79f4_6c5b_4880
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncape\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nelizabeth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
4,"
pmel_co2_moorings_2f60_7b54_fb5d
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\ncce1\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
5,"
pmel_co2_moorings_113a_261c_c6c3
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\ncce2\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
6,"
CGBN_Canada
","
Arctic Flux calculated for observations collected from CCGS Louis S. St-Laurent (CGBN) between 1993 and 1999 in Canadian Waters
","['\nbnds\n', '\ndata\n', '\nlatent\n', '\nlocal\n', '\nsensible\n', '\nsource\n', '\ntau\n', '\ntaxis\n', '\nNOAA PMEL\n', '\ntime\n', '\nlongitude\n', '\nlatitude\n']"
7,"
CGBN_US
","
Arctic Flux calculated for observations collected from CCGS Louis S. St-Laurent (CGBN) between 1994 and 1998 in US Waters
","['\nbnds\n', '\ndata\n', '\nlatent\n', '\nlocal\n', '\nsensible\n', '\nsource\n', '\ntau\n', '\ntaxis\n', '\nNOAA PMEL\n', '\ntime\n', '\nlongitude\n', '\nlatitude\n']"
8,"
pmel_co2_moorings_1ec6_b98a_2ba5
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\ncheeca\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nrocks\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
9,"
pmel_co2_moorings_5cbf_b7fb_e712
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nchuuk\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
